tabela;tipo;nome_c_de;cont_c_de;nome_c_com;cont_c_com;nome_c_com_1;cont_c_com_1;nom_c_para;cont_c_para
domicilio;1;nom_localidade_fam;AIRTO9N SENNA;;;;;nom_localidade_fam;AYRTON SENNA
domicilio;1;nom_localidade_fam;AIRTON SENA;;;;;nom_localidade_fam;AYRTON SENNA
domicilio;1;nom_localidade_fam;ARTON SENNA;;;;;nom_localidade_fam;AYRTON SENNA
domicilio;1;nom_localidade_fam;AYRTTON SENNA;;;;;nom_localidade_fam;AYRTON SENNA
domicilio;1;nom_localidade_fam;BAIRRO AIRTON SENNA;;;;;nom_localidade_fam;AYRTON SENNA
domicilio;1;nom_localidade_fam;ALTO BELA VISTA;;;;;nom_localidade_fam;ALTO DA BELA VISTA
domicilio;1;nom_localidade_fam;AUTO BELA VISTA;;;;;nom_localidade_fam;ALTO DA BELA VISTA
domicilio;1;nom_localidade_fam;BELA VISTA;;;;;nom_localidade_fam;ALTO DA BELA VISTA
domicilio;1;nom_localidade_fam;BELA VISTAA;;;;;nom_localidade_fam;ALTO DA BELA VISTA
domicilio;1;nom_localidade_fam;BELA VSTA;;;;;nom_localidade_fam;ALTO DA BELA VISTA
domicilio;1;nom_localidade_fam;AV PIQUI;;;;;nom_localidade_fam;PIQUI
domicilio;1;nom_localidade_fam;AVEENIDA PIQUI;;;;;nom_localidade_fam;AVENIDA PIQUI
domicilio;1;nom_localidade_fam;AVENIDA PEQUI;;;;;nom_localidade_fam;AVENIDA PIQUI
domicilio;1;nom_localidade_fam;AVENIDA PIQUE;;;;;nom_localidade_fam;AVENIDA PIQUI
domicilio;1;nom_localidade_fam;BAIRRO AVENIDA PIQUI;;;;;nom_localidade_fam;PIQUI
domicilio;1;nom_localidade_fam;PIQUE;;;;;nom_localidade_fam;PIQUI
domicilio;1;nom_localidade_fam;POQUI;;;;;nom_localidade_fam;PIQUI
domicilio;1;nom_localidade_fam;BR 135 RESIDENCIALL 5 ESTRELAS;;;;;nom_localidade_fam;5 ESTRELAS
domicilio;1;nom_localidade_fam;CAMANGO CORREA;;;;;nom_localidade_fam;CAMARGO CORREA
domicilio;1;nom_localidade_fam;CAMRGO CORREA;;;;;nom_localidade_fam;CAMARGO CORREA
domicilio;1;nom_localidade_fam;CARMARGO CORREA;;;;;nom_localidade_fam;CAMARGO CORREA
domicilio;1;nom_localidade_fam;CENTR0;;;;;nom_localidade_fam;CENTRO
domicilio;1;nom_localidade_fam;CINCO ESTRELA;;;;;nom_localidade_fam;CINCO ESTRELAS
domicilio;1;nom_localidade_fam;CONCEIAO;;;;;nom_localidade_fam;CONCEICAO
domicilio;1;nom_localidade_fam;MOROS;;;;;nom_localidade_fam;MORROS
domicilio;1;nom_localidade_fam;POCOADO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POOADO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POV;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVADO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVAODO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVOAADO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVOAD;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVOADDO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVOADO TIMBAUBA;;;;;nom_localidade_fam;TIMBAUMBA
domicilio;1;nom_localidade_fam;POVOADO TIMBAUBA;;;;;nom_localidade_fam;TIMBAUMBA
domicilio;1;nom_localidade_fam;POVOAO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVODADO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;POVODO;;;;;nom_localidade_fam;POVOADO
domicilio;1;nom_localidade_fam;VILA NOVA III;;;;;nom_localidade_fam;VILA NOVA 3
domicilio;1;nom_localidade_fam;VILA NOVA3;;;;;nom_localidade_fam;VILA NOVA 3
domicilio;1;nom_localidade_fam;VILAA LOBAO;;;;;nom_localidade_fam;VILA LOBAO
domicilio;1;nom_localidade_fam;VILALOBAO;;;;;nom_localidade_fam;VILA LOBAO
domicilio;1;nom_localidade_fam;VILLA LOBAO;;;;;nom_localidade_fam;VILA LOBAO
domicilio;1;nom_localidade_fam;VOLA LOBAO;;;;;nom_localidade_fam;VILA LOBAO
domicilio;1;nom_localidade_fam;VOLA NOVA;;;;;nom_localidade_fam;VILA NOVA
domicilio;1;nom_localidade_fam;VOLA NOVA 3;;;;;nom_localidade_fam;VILA NOVA 3
domicilio;1;nom_localidade_fam;VQUEJADA;;;;;nom_localidade_fam;VAQUEJADA
domicilio;2;nom_localidade_fam;VULA NOVA 3;;;;;nom_localidade_fam;VILA NOVA 3
